Index,Incoming Calls,Answered Calls,Answer Rate,Abandoned Calls,Answer Speed (AVG),Talk Duration (AVG),Waiting Time (AVG),Service Level (20 Seconds),Status
356,180,164,91.11%,16,00:00:25,00:02:22,00:01:50,61.80%,No
357,206,200,97.09%,6,00:00:22,00:02:19,00:02:07,74.63%,No
358,187,181,96.79%,6,00:00:32,00:02:30,00:03:54,62.70%,No
359,186,177,95.16%,9,00:00:28,00:02:22,00:05:30,67.93%,No
360,189,180,95.24%,9,00:00:35,00:02:15,00:03:24,56.45%,Yes
361,127,116,91.34%,11,00:00:34,00:02:25,00:02:46,56.45%,No
362,93,90,96.77%,3,00:00:26,00:01:57,00:02:57,63.44%,Yes
363,328,292,89.02%,36,00:00:37,00:02:17,00:06:25,49.68%,No
364,238,223,93.70%,15,00:00:33,00:02:23,00:03:40,59.23%,Yes
365,237,222,93.67%,15,00:00:34,00:02:24,00:02:52,53.85%,Yes
366,257,235,91.44%,22,00:00:45,00:02:31,00:04:24,44.66%,No
367,238,223,93.70%,15,00:00:32,00:02:17,00:03:22,54.70%,Yes
368,199,164,82.41%,35,00:00:32,00:02:13,00:06:56,59.18%,Yes
369,30,27,90.00%,3,00:00:32,00:02:34,00:02:37,60.71%,No
370,176,163,92.61%,13,00:00:38,00:02:05,00:05:30,54.29%,No
371,162,144,88.89%,18,00:00:41,00:02:25,00:03:40,50.31%,Yes
372,169,157,92.90%,12,00:00:29,00:02:29,00:01:56,53.89%,Yes
373,155,146,94.19%,9,00:00:30,00:02:18,00:03:10,50.98%,No
374,247,205,83.00%,42,00:00:49,00:02:26,00:07:36,38.49%,No
375,191,186,97.38%,5,00:00:24,00:02:14,00:01:54,70.53%,No
376,30,29,96.67%,1,00:00:06,00:02:15,00:00:46,93.33%,No
377,316,290,91.77%,26,00:00:31,00:02:21,00:04:02,59.16%,Yes
378,211,195,92.42%,16,00:00:34,00:02:21,00:06:25,55.77%,No
379,208,169,81.25%,39,00:00:45,00:02:18,00:07:15,45.85%,No
380,130,124,95.38%,6,00:00:22,00:02:17,00:02:15,68.99%,No
381,134,129,96.27%,5,00:00:24,00:02:12,00:03:28,70.90%,Yes
382,124,121,97.58%,3,00:00:27,00:02:19,00:03:19,70.73%,Yes
383,47,43,91.49%,4,00:00:37,00:02:18,00:03:16,54.35%,Yes
384,197,186,94.42%,11,00:00:28,00:02:18,00:02:27,63.83%,Yes
385,158,146,92.41%,12,00:00:31,00:02:24,00:03:40,56.96%,Yes
386,163,151,92.64%,12,00:00:28,00:02:13,00:04:53,63.75%,No
387,178,160,89.89%,18,00:00:35,00:02:39,00:04:41,54.49%,Yes
388,151,128,84.77%,23,00:00:35,00:02:23,00:05:38,53.38%,Yes
389,118,106,89.83%,12,00:00:33,00:02:25,00:04:32,55.17%,Yes
390,31,28,90.32%,3,00:00:40,00:02:40,00:03:12,43.33%,Yes
391,139,134,96.40%,5,00:00:31,00:02:23,00:02:50,59.42%,Yes
392,171,154,90.06%,17,00:00:27,00:02:24,00:06:28,65.66%,Yes
393,160,156,97.50%,4,00:00:27,00:02:15,00:01:47,64.56%,No
394,177,169,95.48%,8,00:00:29,00:02:31,00:03:40,64.37%,Yes
395,187,180,96.26%,7,00:00:26,00:02:22,00:05:56,65.59%,No
396,147,138,93.88%,9,00:00:26,00:02:24,00:05:19,61.38%,Yes
397,35,35,100.00%,0,00:00:08,00:02:10,00:00:47,88.57%,Yes
398,208,194,93.27%,14,00:00:35,00:02:26,00:04:26,56.93%,No
399,162,155,95.68%,7,00:00:19,00:02:17,00:03:43,77.99%,Yes
400,152,143,94.08%,9,00:00:22,00:02:28,00:03:41,70.00%,Yes
401,132,125,94.70%,7,00:00:26,00:02:07,00:03:52,68.94%,Yes
402,133,131,98.50%,2,00:00:12,00:02:19,00:01:19,87.12%,Yes
403,129,121,93.80%,8,00:00:33,00:02:37,00:04:01,61.42%,Yes
404,37,35,94.59%,2,00:00:19,00:02:21,00:01:32,75.68%,Yes
405,56,54,96.43%,2,00:00:13,00:02:33,00:02:13,87.27%,No
406,215,210,97.67%,5,00:00:12,00:01:34,00:01:42,87.74%,Yes
407,50,46,92.00%,4,00:00:14,00:02:42,00:01:13,72.00%,Yes
408,136,129,94.85%,7,00:00:22,00:02:26,00:02:30,66.42%,No
409,160,142,88.75%,18,00:00:35,00:02:34,00:03:10,55.92%,Yes
410,132,115,87.12%,17,00:00:36,00:02:27,00:04:35,48.84%,Yes
411,30,28,93.33%,2,00:00:47,00:02:36,00:02:22,40.00%,Yes
412,150,140,93.33%,10,00:00:29,00:02:32,00:02:11,63.09%,Yes
413,160,144,90.00%,16,00:00:46,00:02:39,00:04:25,49.68%,No
414,132,122,92.42%,10,00:00:37,00:02:38,00:03:51,50.00%,No
415,161,151,93.79%,10,00:00:28,00:02:07,00:02:50,61.39%,No
416,156,149,95.51%,7,00:00:22,00:02:28,00:04:11,70.32%,Yes
417,137,128,93.43%,9,00:00:31,00:02:30,00:05:04,62.69%,Yes
418,28,25,89.29%,3,00:01:00,00:02:47,00:04:46,32.14%,No
419,141,133,94.33%,8,00:00:33,00:02:42,00:04:38,63.31%,Yes
420,130,123,94.62%,7,00:00:32,00:02:40,00:02:20,53.49%,Yes
421,161,155,96.27%,6,00:00:27,00:02:43,00:02:43,73.58%,No
422,139,132,94.96%,7,00:00:28,00:02:40,00:01:51,63.31%,Yes
423,167,130,77.84%,37,00:00:29,00:02:34,00:11:56,54.60%,No
424,138,122,88.41%,16,00:00:35,00:02:49,00:05:30,57.78%,Yes
425,47,44,93.62%,3,00:00:26,00:03:11,00:03:29,63.04%,Yes
426,230,206,89.57%,24,00:00:38,00:02:34,00:04:35,46.72%,No
427,177,153,86.44%,24,00:00:30,00:02:53,00:04:28,55.49%,No
428,159,149,93.71%,10,00:00:33,00:02:40,00:04:32,61.04%,Yes
429,151,135,89.40%,16,00:00:36,00:02:32,00:04:41,52.74%,Yes
430,138,126,91.30%,12,00:00:34,00:02:17,00:04:10,59.70%,Yes
431,118,118,100.00%,0,00:00:26,00:02:33,00:01:38,66.10%,Yes
432,22,21,95.45%,1,00:00:42,00:02:24,00:02:56,52.38%,Yes
433,177,156,88.14%,21,00:00:42,00:02:39,00:03:16,42.37%,No
434,156,147,94.23%,9,00:00:29,00:02:31,00:03:41,63.64%,Yes
435,123,121,98.37%,2,00:00:26,00:02:28,00:03:29,64.23%,No
436,130,125,96.15%,5,00:00:26,00:02:29,00:03:28,66.93%,No
437,141,134,95.04%,7,00:00:39,00:02:33,00:03:08,56.43%,No
438,121,113,93.39%,8,00:00:38,00:02:38,00:04:18,50.83%,Yes
439,35,31,88.57%,4,00:00:34,00:02:05,00:04:29,47.06%,Yes
440,240,226,94.17%,14,00:00:36,00:02:15,00:04:06,57.02%,Yes
441,130,118,90.77%,12,00:00:32,00:02:23,00:03:40,57.81%,Yes
442,140,130,92.86%,10,00:00:29,00:02:31,00:07:35,62.32%,No
443,131,111,84.73%,20,00:00:38,00:03:16,00:09:59,59.69%,No
444,74,74,100.00%,0,00:00:13,00:02:55,00:01:53,89.19%,Yes
445,24,24,100.00%,0,00:00:12,00:02:47,00:00:57,83.33%,No
446,11,10,90.91%,1,00:00:13,00:02:24,00:00:55,81.82%,Yes
447,28,26,92.86%,2,00:00:10,00:02:30,00:01:26,81.48%,Yes
448,43,43,100.00%,0,00:00:08,00:02:23,00:00:52,88.37%,Yes
449,62,62,100.00%,0,00:00:17,00:02:12,00:01:26,82.26%,Yes
450,70,69,98.57%,1,00:00:22,00:02:06,00:08:40,81.43%,No
451,107,97,90.65%,10,00:00:21,00:02:26,00:02:40,68.87%,No
452,91,85,93.41%,6,00:00:30,00:02:27,00:05:49,62.64%,No
453,25,25,100.00%,0,00:00:11,00:02:40,00:00:55,84.00%,No
454,85,79,92.94%,6,00:00:24,00:02:31,00:03:07,72.29%,Yes
455,91,83,91.21%,8,00:00:26,00:02:37,00:03:40,62.64%,Yes
456,48,46,95.83%,2,00:00:11,00:02:13,00:01:22,82.98%,Yes
457,14,11,78.57%,3,00:00:18,00:02:27,00:02:45,61.54%,No
458,43,42,97.67%,1,00:00:22,00:02:47,00:03:15,73.81%,No
459,74,69,93.24%,5,00:00:23,00:02:31,00:04:48,76.71%,Yes
460,33,33,100.00%,0,00:00:14,00:02:25,00:01:29,81.82%,No
461,124,112,90.32%,12,00:00:26,00:02:36,00:05:30,64.75%,No
462,130,126,96.92%,4,00:00:25,00:02:30,00:02:58,65.89%,Yes
463,139,139,100.00%,0,00:00:18,00:02:40,00:03:03,77.54%,No
464,138,130,94.20%,8,00:00:26,00:02:27,00:01:52,61.48%,Yes
465,125,119,95.20%,6,00:00:22,00:02:29,00:03:40,68.00%,No
466,98,96,97.96%,2,00:00:20,00:02:36,00:02:53,77.32%,No
467,12,12,100.00%,0,00:00:18,00:03:07,00:01:36,83.33%,No
468,119,117,98.32%,2,00:00:18,00:02:39,00:02:43,78.15%,Yes
469,100,96,96.00%,4,00:00:21,00:02:37,00:02:45,76.00%,No
470,146,133,91.10%,13,00:00:31,00:02:30,00:03:40,57.75%,Yes
471,131,127,96.95%,4,00:00:22,00:02:25,00:02:28,72.66%,No
472,107,104,97.20%,3,00:00:08,00:02:27,00:01:36,92.45%,No
473,112,105,93.75%,7,00:00:24,00:02:38,00:04:28,67.27%,No
474,21,21,100.00%,0,00:00:32,00:02:31,00:01:25,52.38%,Yes
475,125,104,83.20%,21,00:00:37,00:02:44,00:02:45,44.63%,Yes
476,35,34,97.14%,1,00:00:24,00:02:12,00:02:16,74.29%,No
477,121,109,90.08%,12,00:00:38,00:02:32,00:05:21,53.78%,No
478,135,122,90.37%,13,00:00:32,00:02:34,00:03:08,57.58%,No
479,117,114,97.44%,3,00:00:22,00:02:38,00:02:27,75.86%,No
480,114,97,85.09%,17,00:00:39,00:02:50,00:08:16,45.13%,Yes
481,50,49,98.00%,1,00:00:35,00:02:55,00:02:22,52.00%,Yes
482,207,198,95.65%,9,00:00:16,00:02:43,00:03:51,80.49%,Yes
483,189,183,96.83%,6,00:00:21,00:02:31,00:03:58,74.19%,No
484,162,156,96.30%,6,00:00:24,00:02:22,00:02:08,66.46%,No
485,177,165,93.22%,12,00:00:26,00:02:31,00:03:50,66.47%,No
486,177,167,94.35%,10,00:00:23,00:02:35,00:02:45,68.97%,No
487,163,134,82.21%,29,00:00:38,00:02:42,00:07:16,47.20%,Yes
488,24,20,83.33%,4,00:00:26,00:03:23,00:02:16,65.22%,No
489,146,139,95.21%,7,00:00:18,00:02:34,00:06:21,75.86%,Yes
490,143,141,98.60%,2,00:00:22,00:02:45,00:02:45,72.03%,Yes
491,132,122,92.42%,10,00:00:31,00:02:28,00:04:36,56.49%,Yes
492,137,130,94.89%,7,00:00:26,00:02:25,00:02:06,64.44%,Yes
493,112,104,92.86%,8,00:00:43,00:02:37,00:04:07,40.91%,No
494,110,91,82.73%,19,00:00:50,00:02:38,00:05:12,36.70%,No
495,24,22,91.67%,2,00:00:32,00:02:14,00:04:46,58.33%,Yes
496,168,154,91.67%,14,00:00:36,00:02:44,00:03:52,49.40%,Yes
497,146,116,79.45%,30,00:00:42,00:02:28,00:15:00,54.93%,Yes
498,100,95,95.00%,5,00:00:31,00:02:38,00:02:53,57.00%,Yes
499,144,131,90.97%,13,00:00:26,00:02:27,00:02:37,63.57%,No
500,110,104,94.55%,6,00:00:24,00:02:26,00:02:22,64.22%,No
501,126,111,88.10%,15,00:00:31,00:02:38,00:04:36,52.80%,Yes
502,24,24,100.00%,0,00:00:48,00:02:54,00:04:44,41.67%,No
503,128,122,95.31%,6,00:00:35,00:02:59,00:02:42,51.56%,No
504,185,176,95.14%,9,00:00:27,00:02:23,00:05:05,67.93%,Yes
505,136,114,83.82%,22,00:00:57,00:02:25,00:05:31,28.79%,Yes
506,130,116,89.23%,14,00:00:44,00:02:41,00:06:00,44.44%,No
507,103,101,98.06%,2,00:00:18,00:02:42,00:02:23,77.45%,No
508,99,89,89.90%,10,00:00:20,00:02:27,00:01:30,73.68%,No
509,26,24,92.31%,2,00:00:23,00:02:00,00:01:53,68.00%,No
510,95,94,98.95%,1,00:00:21,00:02:31,00:03:34,75.53%,No
511,136,131,96.32%,5,00:00:17,00:02:29,00:02:21,81.06%,No
512,37,34,91.89%,3,00:00:41,00:02:11,00:05:46,64.86%,No
513,105,100,95.24%,5,00:00:22,00:02:30,00:02:12,72.28%,No
514,100,92,92.00%,8,00:00:30,00:02:27,00:04:35,63.27%,Yes
515,115,103,89.57%,12,00:00:44,00:02:46,00:04:35,37.17%,Yes
516,38,36,94.74%,2,00:00:39,00:02:56,00:02:54,52.63%,No
517,108,95,87.96%,13,00:00:26,00:02:49,00:02:46,63.81%,Yes
518,124,118,95.16%,6,00:00:23,00:02:31,00:03:01,73.77%,Yes
519,97,92,94.85%,5,00:00:25,00:02:36,00:02:23,67.71%,Yes
520,117,108,92.31%,9,00:00:37,00:01:46,00:04:03,48.67%,Yes
521,34,31,91.18%,3,00:00:27,00:02:37,00:02:32,64.71%,No
522,53,50,94.34%,3,00:00:28,00:02:11,00:03:16,66.04%,Yes
523,29,23,79.31%,6,00:00:42,00:02:47,00:03:40,32.14%,Yes
524,120,107,89.17%,13,00:00:34,00:02:39,00:03:21,44.07%,Yes
525,107,100,93.46%,7,00:00:33,00:02:33,00:02:08,51.43%,No
526,173,159,91.91%,14,00:00:47,00:02:44,00:05:30,39.41%,Yes
527,256,213,83.20%,43,00:00:44,00:02:45,00:05:18,41.70%,Yes
528,199,174,87.44%,25,00:00:36,00:02:35,00:04:35,53.06%,No
529,182,170,93.41%,12,00:00:40,00:02:44,00:03:27,45.81%,Yes
530,42,41,97.62%,1,00:00:42,00:02:53,00:03:40,56.10%,Yes
531,181,168,92.82%,13,00:00:34,00:02:35,00:02:43,51.69%,No
532,159,147,92.45%,12,00:00:30,00:02:36,00:04:39,58.71%,Yes
533,142,134,94.37%,8,00:00:26,00:02:50,00:01:50,61.87%,Yes
534,194,163,84.02%,31,00:00:30,00:02:38,00:05:31,51.04%,No
535,235,210,89.36%,25,00:00:38,00:02:53,00:04:35,48.90%,No
536,206,180,87.38%,26,00:00:51,00:02:47,00:07:03,38.61%,Yes
537,58,47,81.03%,11,00:00:48,00:02:36,00:04:35,42.11%,Yes
538,212,194,91.51%,18,00:00:38,00:02:33,00:04:21,51.20%,No
539,232,214,92.24%,18,00:00:34,00:02:36,00:05:30,55.90%,No
540,348,327,93.97%,21,00:00:32,00:02:28,00:07:20,54.62%,Yes
541,167,156,93.41%,11,00:00:32,00:02:43,00:02:57,56.79%,Yes
542,167,157,94.01%,10,00:00:27,00:02:57,00:05:19,67.48%,Yes
543,166,161,96.99%,5,00:00:21,00:02:45,00:01:32,73.33%,No
544,32,28,87.50%,4,00:00:22,00:02:43,00:07:35,64.52%,No
545,52,49,94.23%,3,00:00:32,00:02:58,00:03:02,63.46%,Yes
546,154,149,96.75%,5,00:00:26,00:02:52,00:01:50,64.90%,Yes
547,223,218,97.76%,5,00:00:18,00:02:07,00:02:00,80.09%,No
548,170,157,92.35%,13,00:00:17,00:03:04,00:06:25,78.44%,Yes
549,145,133,91.72%,12,00:00:26,00:02:56,00:03:39,69.23%,Yes
550,144,138,95.83%,6,00:00:17,00:02:53,00:02:45,83.80%,Yes
551,16,15,93.75%,1,00:00:17,00:03:00,00:02:45,68.75%,Yes
552,135,131,97.04%,4,00:00:20,00:02:37,00:02:00,76.12%,Yes
553,137,133,97.08%,4,00:00:24,00:02:49,00:02:46,69.12%,No
554,149,144,96.64%,5,00:00:17,00:02:39,00:02:02,82.76%,Yes
555,155,143,92.26%,12,00:00:16,00:02:41,00:06:25,80.14%,Yes
556,128,121,94.53%,7,00:00:19,00:02:55,00:04:35,77.78%,Yes
557,134,125,93.28%,9,00:00:21,00:02:38,00:03:18,72.52%,Yes
558,21,21,100.00%,0,00:00:23,00:02:37,00:02:50,76.19%,Yes
559,150,138,92.00%,12,00:00:30,00:02:52,00:04:16,58.67%,Yes
560,163,158,96.93%,5,00:00:14,00:02:28,00:02:01,81.99%,No
561,160,151,94.38%,9,00:00:12,00:02:39,00:02:57,87.18%,No
562,132,125,94.70%,7,00:00:30,00:02:46,00:03:47,64.62%,Yes
563,131,126,96.18%,5,00:00:17,00:02:47,00:02:35,78.29%,No
564,158,146,92.41%,12,00:00:21,00:02:42,00:03:40,75.32%,No
565,19,16,84.21%,3,00:00:51,00:02:46,00:04:14,47.37%,No
566,151,128,84.77%,23,00:00:52,00:02:30,00:05:38,37.93%,No
567,139,128,92.09%,11,00:00:32,00:02:44,00:03:34,51.80%,No
568,166,135,81.33%,31,00:00:41,00:02:40,00:05:09,46.50%,Yes
569,258,196,75.97%,62,00:01:10,00:02:30,00:07:51,24.29%,Yes
570,203,176,86.70%,27,00:00:40,00:02:30,00:09:09,44.78%,Yes
571,182,162,89.01%,20,00:00:25,00:02:48,00:03:40,59.43%,Yes
572,18,17,94.44%,1,00:00:55,00:04:01,00:05:46,50.00%,Yes
573,215,170,79.07%,45,00:00:55,00:02:49,00:07:26,43.06%,Yes
574,209,203,97.13%,6,00:00:25,00:02:42,00:03:40,74.88%,Yes
575,140,134,95.71%,6,00:00:20,00:02:59,00:03:21,76.26%,No
576,124,110,88.71%,14,00:00:15,00:02:56,00:08:16,81.82%,Yes
577,179,163,91.06%,16,00:00:23,00:02:44,00:04:17,71.59%,Yes
578,163,161,98.77%,2,00:00:10,00:02:40,00:01:51,94.41%,No
579,27,27,100.00%,0,00:00:05,00:02:48,00:00:19,100.00%,Yes
580,182,175,96.15%,7,00:00:19,00:02:38,00:03:08,79.89%,Yes
581,164,159,96.95%,5,00:00:11,00:02:23,00:06:28,90.18%,No
582,160,159,99.38%,1,00:00:05,00:02:40,00:00:58,98.74%,No
583,174,155,89.08%,19,00:00:16,00:02:41,00:06:39,77.06%,No
584,235,230,97.87%,5,00:00:05,00:02:27,00:01:50,95.74%,No
585,175,174,99.43%,1,00:00:04,00:02:26,00:01:53,98.86%,No
586,25,25,100.00%,0,00:00:04,00:03:15,00:00:55,96.00%,No
587,170,167,98.24%,3,00:00:06,00:02:35,00:03:40,94.08%,Yes
588,187,168,89.84%,19,00:00:26,00:02:20,00:04:49,70.43%,Yes
589,53,51,96.23%,2,00:00:06,00:02:29,00:01:50,88.68%,Yes
590,121,117,96.69%,4,00:00:13,00:02:36,00:02:41,85.83%,No
591,143,139,97.20%,4,00:00:05,00:02:26,00:01:56,94.41%,No
592,100,96,96.00%,4,00:00:06,00:02:28,00:01:50,91.92%,No
593,17,17,100.00%,0,00:00:08,00:02:55,00:00:59,88.24%,No
594,113,110,97.35%,3,00:00:08,00:02:33,00:01:18,90.18%,Yes
595,139,128,92.09%,11,00:00:13,00:02:38,00:03:40,82.01%,Yes
596,135,134,99.26%,1,00:00:04,00:02:34,00:01:50,98.52%,Yes
597,29,29,100.00%,0,00:00:15,00:03:13,00:01:29,79.31%,No
598,120,116,96.67%,4,00:00:05,00:02:43,00:02:45,95.83%,No
599,115,108,93.91%,7,00:00:09,00:02:50,00:04:25,88.70%,No
600,14,14,100.00%,0,00:00:14,00:02:17,00:01:14,78.57%,No
601,107,104,97.20%,3,00:00:07,00:02:29,00:00:58,90.57%,Yes
602,137,128,93.43%,9,00:00:10,00:02:30,00:02:03,85.29%,Yes
603,106,105,99.06%,1,00:00:11,00:02:47,00:01:53,85.85%,Yes
604,116,108,93.10%,8,00:00:19,00:02:26,00:02:33,84.07%,Yes
605,120,117,97.50%,3,00:00:09,00:02:37,00:01:05,90.76%,Yes
606,123,121,98.37%,2,00:00:07,00:02:27,00:01:55,91.06%,Yes
607,31,31,100.00%,0,00:00:03,00:02:18,00:00:03,100.00%,No
608,140,139,99.29%,1,00:00:08,00:02:39,00:01:11,92.14%,Yes
609,168,161,95.83%,7,00:00:18,00:02:24,00:02:24,73.65%,Yes
610,146,144,98.63%,2,00:00:06,00:02:38,00:00:58,94.48%,Yes
611,110,106,96.36%,4,00:00:15,00:02:50,00:02:30,80.00%,No
612,342,333,97.37%,9,00:00:15,00:02:10,00:02:39,81.42%,Yes
613,190,183,96.32%,7,00:00:16,00:02:32,00:01:59,78.95%,Yes
614,25,24,96.00%,1,00:00:06,00:02:22,00:00:48,91.67%,No
615,169,162,95.86%,7,00:00:09,00:02:31,00:04:36,89.16%,No
616,130,129,99.23%,1,00:00:11,00:02:30,00:01:52,86.92%,No
617,22,20,90.91%,2,00:00:09,00:03:15,00:01:50,90.48%,No
618,5,5,100.00%,0,00:00:28,00:02:25,00:01:14,60.00%,No
619,119,115,96.64%,4,00:00:11,00:02:28,00:01:50,86.44%,No
620,140,138,98.57%,2,00:00:09,00:02:17,00:02:11,92.14%,Yes
621,22,22,100.00%,0,00:00:06,00:02:21,00:00:48,90.91%,Yes
622,126,124,98.41%,2,00:00:08,00:02:35,00:00:58,94.40%,No
623,122,111,90.98%,11,00:00:13,00:02:43,00:02:13,77.69%,Yes
624,113,108,95.58%,5,00:00:13,00:02:31,00:01:27,82.88%,Yes
625,119,109,91.60%,10,00:00:17,00:02:36,00:05:15,83.62%,Yes
626,134,119,88.81%,15,00:00:24,00:02:46,00:02:45,63.43%,Yes
627,101,97,96.04%,4,00:00:16,00:02:33,00:01:38,77.00%,No
628,20,20,100.00%,0,00:00:04,00:02:24,00:00:18,100.00%,Yes
629,169,162,95.86%,7,00:00:17,00:02:32,00:05:31,80.12%,No
630,137,133,97.08%,4,00:00:29,00:02:37,00:02:42,62.04%,No
631,133,127,95.49%,6,00:00:18,00:02:39,00:04:36,81.95%,Yes
632,184,179,97.28%,5,00:00:10,00:02:03,00:02:44,90.56%,Yes
633,145,135,93.10%,10,00:00:21,00:02:35,00:03:10,74.13%,No
634,114,108,94.74%,6,00:00:14,00:02:31,00:02:33,82.88%,No
635,24,23,95.83%,1,00:00:05,00:02:12,00:00:55,95.83%,Yes
636,143,136,95.10%,7,00:00:09,00:02:32,00:05:30,84.51%,Yes
637,119,114,95.80%,5,00:00:08,00:02:22,00:01:19,90.60%,No
638,123,118,95.93%,5,00:00:21,00:02:46,00:02:44,70.73%,No
639,145,141,97.24%,4,00:00:14,00:02:36,00:01:50,83.33%,No
640,108,106,98.15%,2,00:00:26,00:02:50,00:04:57,68.22%,No
641,128,125,97.66%,3,00:00:13,00:02:45,00:01:42,82.68%,Yes
642,27,26,96.30%,1,00:00:20,00:02:51,00:02:40,84.62%,No
643,155,151,97.42%,4,00:00:11,00:02:32,00:02:18,89.61%,No
644,116,110,94.83%,6,00:00:18,00:02:23,00:02:47,75.00%,Yes
645,117,111,94.87%,6,00:00:18,00:02:43,00:02:06,76.52%,No
646,113,105,92.92%,8,00:00:31,00:02:37,00:03:40,53.98%,No
647,107,101,94.39%,6,00:00:23,00:02:44,00:03:11,73.58%,No
648,146,141,96.58%,5,00:00:25,00:02:22,00:02:46,65.75%,No
649,29,26,89.66%,3,00:00:09,00:02:37,00:01:50,85.71%,No
650,231,228,98.70%,3,00:00:15,00:02:09,00:03:26,81.39%,Yes
651,239,215,89.96%,24,00:00:23,00:02:36,00:04:35,66.67%,Yes
652,174,154,88.51%,20,00:00:29,00:02:40,00:05:08,61.31%,No
653,168,163,97.02%,5,00:00:21,00:02:49,00:02:45,70.66%,No
654,135,128,94.81%,7,00:00:18,00:02:36,00:05:30,72.59%,No
655,122,113,92.62%,9,00:00:30,00:02:49,00:03:40,61.16%,Yes
656,13,12,92.31%,1,00:00:24,00:02:45,00:01:12,66.67%,No
657,20,18,90.00%,2,00:00:23,00:02:43,00:02:44,73.68%,Yes
658,152,141,92.76%,11,00:00:22,00:02:41,00:04:29,70.00%,Yes
659,132,131,99.24%,1,00:00:12,00:02:39,00:02:00,87.02%,No
660,180,171,95.00%,9,00:00:21,00:02:51,00:02:39,71.91%,Yes
661,193,189,97.93%,4,00:00:13,00:02:35,00:02:26,82.90%,Yes
662,245,236,96.33%,9,00:00:13,00:02:44,00:02:20,82.79%,Yes
663,35,34,97.14%,1,00:00:11,00:02:11,00:01:44,88.24%,Yes
664,198,190,95.96%,8,00:00:12,00:02:38,00:01:22,84.69%,Yes
665,47,47,100.00%,0,00:00:06,00:02:09,00:00:57,93.62%,No
666,187,186,99.47%,1,00:00:07,00:02:30,00:02:45,93.58%,No
667,57,54,94.74%,3,00:00:07,00:02:37,00:00:55,91.07%,Yes
668,169,162,95.86%,7,00:00:09,00:02:39,00:01:50,88.17%,Yes
669,337,316,93.77%,21,00:00:23,00:02:13,00:05:17,72.92%,Yes
670,44,43,97.73%,1,00:00:09,00:02:35,00:01:50,84.09%,Yes
671,210,206,98.10%,4,00:00:12,00:02:39,00:02:32,87.08%,No
672,190,186,97.89%,4,00:00:17,00:02:22,00:04:53,84.13%,No
673,190,182,95.79%,8,00:00:10,00:02:40,00:01:38,87.03%,No
674,169,168,99.41%,1,00:00:11,00:02:25,00:01:48,88.17%,No
675,52,50,96.15%,2,00:00:06,00:02:34,00:00:58,92.16%,No
676,144,137,95.14%,7,00:00:14,00:02:36,00:02:56,77.08%,No
677,36,36,100.00%,0,00:00:15,00:02:53,00:01:41,80.56%,No
678,155,148,95.48%,7,00:00:14,00:02:26,00:03:23,81.29%,No
679,159,154,96.86%,5,00:00:16,00:02:41,00:02:12,78.62%,No
680,115,110,95.65%,5,00:00:14,00:02:28,00:02:17,83.19%,Yes
681,186,173,93.01%,13,00:00:19,00:02:39,00:02:44,73.51%,No
682,167,157,94.01%,10,00:00:23,00:02:32,00:02:49,67.68%,Yes
683,146,142,97.26%,4,00:00:22,00:02:42,00:01:59,66.90%,Yes
684,41,31,75.61%,10,00:00:39,00:03:43,00:03:40,48.78%,Yes
685,185,85,45.95%,100,00:01:49,00:02:46,00:11:01,3.80%,No
686,149,83,55.70%,66,00:01:38,00:02:18,00:10:06,4.83%,Yes
687,180,115,63.89%,65,00:01:04,00:02:33,00:12:50,23.86%,No
688,173,144,83.24%,29,00:00:38,00:03:00,00:05:32,46.47%,No
689,176,158,89.77%,18,00:00:20,00:02:33,00:05:15,70.35%,No
690,147,120,81.63%,27,00:00:46,00:02:39,00:04:16,39.73%,Yes
691,84,77,91.67%,7,00:00:17,00:02:07,00:04:30,73.49%,Yes
692,325,78,24.00%,247,00:03:13,00:03:01,00:17:27,0.00%,Yes
693,441,103,23.36%,338,00:04:04,00:02:43,00:15:38,0.23%,Yes
694,525,116,22.10%,409,00:05:08,00:03:08,00:22:56,0.00%,No
695,610,201,32.95%,409,00:03:13,00:02:52,00:19:15,3.52%,Yes
696,427,282,66.04%,145,00:01:02,00:02:49,00:14:42,24.88%,No
697,378,331,87.57%,47,00:00:43,00:02:37,00:05:30,40.33%,No
698,80,67,83.75%,13,00:00:38,00:03:12,00:05:30,46.25%,No
699,356,320,89.89%,36,00:00:34,00:02:52,00:05:30,52.56%,Yes
700,409,355,86.80%,54,00:00:44,00:02:55,00:04:21,39.70%,Yes
701,352,302,85.80%,50,00:00:41,00:03:03,00:05:49,47.40%,Yes
702,282,239,84.75%,43,00:00:39,00:03:06,00:08:26,51.07%,No
703,429,390,90.91%,39,00:00:38,00:02:41,00:03:40,44.66%,No
704,310,285,91.94%,25,00:00:33,00:02:45,00:04:12,56.11%,No
705,102,94,92.16%,8,00:00:29,00:02:40,00:02:48,63.73%,No
706,335,297,88.66%,38,00:00:39,00:02:33,00:03:42,43.64%,Yes
707,313,291,92.97%,22,00:00:26,00:02:25,00:03:42,64.29%,Yes
708,251,240,95.62%,11,00:00:24,00:02:42,00:02:45,67.20%,Yes
709,190,176,92.63%,14,00:00:24,00:02:31,00:03:53,67.72%,No
710,188,170,90.43%,18,00:00:34,00:02:49,00:06:25,53.23%,No
711,166,160,96.39%,6,00:00:15,00:02:40,00:02:45,81.82%,No
